pass_id,transition_id,from_global_id,to_global_id,team_id,release_frame_proc,receive_frame_proc,receive_confirmed_frame_proc,transfer_gap_frames,start_x_m,start_y_m,end_x_m,end_y_m,dx_m,dy_m,distance_m,direction_angle_deg,transfer_speed_mps,classification,intent_proxy,release_time_seconds,receive_time_seconds
64,228,1,32,team_1,49858,49903,49905,44,24.078687909506673,5.543161671662068,28.102014095606915,2.818510496724508,4.023326186100242,-2.7246511749375597,4.859,-34.10639114356702,3.23940170229343,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1661.933,1663.433
65,234,4,2,team_0,50977,50995,50997,17,38.65450689337096,9.78371306329006,38.61610230884648,12.550250244812327,-0.03840458452447848,2.766537181522267,2.767,90.79531888968638,4.61133955256486,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1699.233,1699.833
66,235,15,11,team_1,51157,51161,51163,3,33.496413676936776,9.696059420191844,31.73600497802227,12.145624369184896,-1.7604086989145067,2.4495649489930518,3.017,125.7033582761736,22.623917797176343,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1705.233,1705.367
67,246,5,10,team_0,51705,51706,51708,0,30.0064726513796,22.1612663953094,30.49314805578762,22.6042598072041,0.4866754044080217,0.442993411894701,0.658,42.309843717806885,19.743011447447365,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1723.5,1723.533
68,247,23,6,team_1,54090,54119,54121,28,21.973364824279738,12.03132157618454,23.2695003764346,9.375100212960126,1.2961355521548619,-2.6562213632244145,2.956,-63.98937451276247,3.0575011304840976,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1803.0,1803.967
69,248,6,16,team_1,54188,54226,54228,37,29.418934338417372,8.515845112551949,31.64259123612051,4.094998679651122,2.223656897703137,-4.420846432900826,4.949,-63.29790252011246,3.9067807967384107,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1806.267,1807.533
70,257,12,10,team_0,55054,55086,55088,31,18.800008348909074,-0.12551823716645463,13.737513897447476,1.5764771689547692,-5.062494451461598,1.701995406121224,5.341,161.4175102603652,5.007131105181496,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1835.133,1836.2
71,268,1,16,team_1,57699,57721,57723,21,11.800363945466325,0.2748539792090079,10.351840220194843,0.49062393135016735,-1.4485237252714818,0.21576995214115946,1.465,171.52760254008527,1.997053557630308,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1923.3,1924.033
72,270,12,2,team_0,58223,58226,58228,2,16.28005040622594,19.327467101806462,16.66726642905946,19.70507070503812,0.3872160228335204,0.377603603231659,0.541,44.27993207917646,5.408518554211878,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1940.767,1940.867
73,271,1,0,team_1,58339,58369,58371,29,27.04044709853582,20.30898684554231,27.15884374090748,17.611035370628233,0.11839664237165692,-2.6979514749140776,2.701,-87.48724972478612,2.700548078801029,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1944.633,1945.633
74,272,0,3,team_1,58382,58417,58419,34,27.426000351111536,16.418449617670465,28.282339979369034,14.460224491503118,0.8563396282574978,-1.9582251261673473,2.137,-66.38005004592284,1.8319537654155102,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1946.067,1947.233
75,278,16,23,team_1,58750,58766,58768,15,18.656492920931683,7.299987428797299,19.076150662603943,8.012904215056983,0.41965774167226044,0.7129167862596839,0.827,59.51684882896751,1.551116870607711,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1958.333,1958.867
76,280,11,23,team_1,58785,58794,58796,8,19.608323758931736,8.756129849971689,20.6302397556163,9.546972625627292,1.021915996684566,0.7908427756556033,1.292,37.73565618000885,4.307286591200839,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1959.5,1959.8
77,282,26,6,team_1,59525,59537,59539,11,22.51044062856741,14.297765902983986,23.28865305171915,13.317152473870447,0.7782124231517429,-0.9806134291135393,1.252,-51.56456995164111,3.129713717843776,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1984.167,1984.567
78,284,16,1,team_1,59808,59831,59833,22,28.79127911553385,4.191170862445429,27.29247190759223,7.373700736387672,-1.4988072079416206,3.1825298739422427,3.518,115.21801373846142,4.588435265577135,active_directed_pass_candidate,stable_A_and_B+same_team+metric_displacement;human_review_required,1993.6,1994.367
